policy,mean_pnl,std_pnl,sharpe,certainty_equivalent,var5,cvar5,mean_abs_invT,mean_fills,mean_turnover,avg_total_lambda
gueant_static,10429.94439230925,15043.039148033411,0.6933402412685182,4488.006903349487,-9959.826807937096,-15918.19726496232,0.5333333333333333,3.0833333333333335,154166666.66666666,0.0004186884143526659
inv_skew,10648.081498889716,14660.92666314006,0.72628980033443,5055.051667574729,-10083.73307926548,-15717.407553750994,0.475,3.1083333333333334,155416666.66666666,0.0004228164866117323
hawkes_aware,11377.771482629503,16029.801574060495,0.7097886664449465,5029.076226150644,-11279.394425641618,-16248.559532867484,0.4666666666666667,3.1166666666666667,155833333.33333334,0.00043152582218107516
