intensity_model,mean_pnl,std_pnl,sharpe,certainty_equivalent,var5,cvar5,mean_abs_invT,mean_fills,mean_turnover,avg_total_lambda,intensity_model
exponential,9086.925953850385,12738.349794378899,0.7133518941252663,5012.289834718965,-7163.443018333109,-13342.331641611841,0.47,2.61,130500000.0,0.00037818081019331043,exponential
power_law,9409.151100972096,13719.038877196854,0.6858462305702441,4915.129817157671,-7166.14208004958,-14057.709356873627,0.45,2.67,133500000.0,0.0003877767420389843,power_law
logistic,4632.194335318207,8937.144155048705,0.5183081144216994,2677.2802028027195,-4708.8412120690855,-9742.164177912897,0.394,1.342,67100000.0,0.00019578469145558334,logistic
