policy,mean_pnl,std_pnl,sharpe,certainty_equivalent,var5,cvar5,mean_abs_invT,mean_fills,mean_turnover,avg_total_lambda
gueant_static,6417.65011277336,13778.293751953155,0.4657797422749548,1894.8304589473735,-8377.262150844977,-16385.247696657323,0.264,1.38,69000000.0,0.00019241888517215668
inv_skew,6394.425590522144,13772.2710326459,0.46429710650950357,1881.0145169476193,-8377.262150844977,-16352.827264860147,0.258,1.382,69100000.0,0.0001929789410343682
hawkes_aware,6490.856052811032,13953.153243741666,0.4651891898143053,1900.8069289909217,-8377.262150844977,-16362.090245373627,0.262,1.382,69100000.0,0.00019338168489149756
