policy,mean_pnl,std_pnl,sharpe,certainty_equivalent,var5,cvar5,mean_abs_invT,mean_fills,mean_turnover,avg_total_lambda
gueant_static,4999.207324315447,9419.876955517482,0.5307083466082084,2995.691694154799,-6210.138819490579,-8799.362991769292,0.3875,1.5625,78125000.0,0.0002139799173732294
inv_skew,4853.802899420603,9365.551216257629,0.5182613161086455,2878.177136539071,-6398.272356092666,-8958.268523191762,0.3625,1.5625,78125000.0,0.00021504147321368413
hawkes_aware,4914.42707928247,9914.157514856252,0.49569790190626456,2768.201858665967,-6398.272356092666,-8958.268523191762,0.325,1.65,82500000.0,0.0002288415811092931
