policy,mean_pnl,std_pnl,sharpe,certainty_equivalent,var5,cvar5,mean_abs_invT,mean_fills,mean_turnover,avg_total_lambda
gueant_static,9086.925953850385,12738.349794378899,0.7133518941252663,5012.289834718965,-7163.443018333109,-13342.331641611841,0.47,2.61,130500000.0,0.00037818081019331043
inv_skew,8778.032402850047,12404.036007049393,0.7076755015755649,4852.713098834935,-6741.480988488139,-13548.077696543627,0.412,2.652,132600000.0,0.00038203325494169595
hawkes_aware,8819.82702928023,12654.72772508947,0.6969590512638132,4766.821055393751,-7250.237679544368,-13917.89054303229,0.414,2.682,134100000.0,0.0003852180928938274
